Source,Destination
ADAR,ADAL
ADFL,ADAL
ASHL,ADAL
AVDR,ADAL
PVQL,ADAL
ADEL,ADAL
ADFL,ADAL
AIAL,ADAL
AIBL,ADAL
AIBR,ADAL
ASHL,ADAL
AVAR,ADAL
AVBL,ADAL
AVBR,ADAL
AVBR,ADAL
AVDL,ADAL
AVEL,ADAL
AVJR,ADAL
AWAL,ADAL
FLPR,ADAL
PVPL,ADAL
PVR,ADAL
RICL,ADAL
RICL,ADAL
RICR,ADAL
RIML,ADAL
RIPL,ADAL
RMGL,ADAL
SMDVR,ADAL
ADAL,ADAR
ADFR,ADAR
ASHR,ADAR
AVDL,ADAR
PVQR,ADAR
ADER,ADAR
ADFR,ADAR
AIAR,ADAR
AIBL,ADAR
AIBR,ADAR
ASHR,ADAR
AVAL,ADAR
AVBL,ADAR
AVBL,ADAR
AVBR,ADAR
AVEL,ADAR
AVJL,ADAR
AVJL,ADAR
RICL,ADAR
RICL,ADAR
RICR,ADAR
RIMR,ADAR
RIMR,ADAR
RIPR,ADAR
RIVR,ADAR
RMGR,ADAR
SMDVL,ADAR
URBR,ADAR
ADAL,ADEL
AINL,ADEL
AVKR,ADEL
ADER,ADEL
ADER,ADEL
ALA,ADEL
AVAL,ADEL
AVAR,ADEL
AVEL,ADEL
AVL,ADEL
BDUL,ADEL
BDUL,ADEL
CEPDL,ADEL
FLPL,ADEL
FLPL,ADEL
FLPL,ADEL
IL1L,ADEL
IL2L,ADEL
IL2L,ADEL
IL2L,ADEL
OLLL,ADEL
OLLL,ADEL
RIAL,ADEL
RIFL,ADEL
RIGL,ADEL
RIGL,ADEL
RIGR,ADEL
RIGR,ADEL
RIH,ADEL
RIVL,ADEL
RIVR,ADEL
RMDL,ADEL
RMDL,ADEL
RMGL,ADEL
RMHL,ADEL
SIADR,ADEL
SIBDR,ADEL
SMBDR,ADEL
URBL,ADEL
ADAR,ADER
ADEL,ADER
ADEL,ADER
AVKL,ADER
ALA,ADER
ALNR,ADER
AVAL,ADER
AVAL,ADER
AVAR,ADER
AVAR,ADER
AVDR,ADER
AVER,ADER
AVJR,ADER
AVKL,ADER
AVKL,ADER
AVKR,ADER
AVM,ADER
AVM,ADER
BDUR,ADER
CEPDR,ADER
FLPL,ADER
FLPL,ADER
FLPR,ADER
FLPR,ADER
FLPR,ADER
IL2R,ADER
IL2R,ADER
OLLR,ADER
PVR,ADER
RIGL,ADER
RIGL,ADER
RIGR,ADER
RIH,ADER
RMDR,ADER
SAAVR,ADER
ADAL,ADFL
ADAL,ADFL
AIZL,ADFL
AIZL,ADFL
ASHL,ADFL
AUAL,ADFL
AUAL,ADFL
AWBL,ADFL
AWBL,ADFL
OLQVL,ADFL
RIAL,ADFL
RIAL,ADFL
RIGL,ADFL
RIR,ADFL
SMBVL,ADFL
ADAR,ADFR
ADAR,ADFR
AIAR,ADFR
AIYR,ADFR
AIYR,ADFR
AIZR,ADFR
AIZR,ADFR
ASEL,ADFR
ASHR,ADFR
ASHR,ADFR
AUAR,ADFR
AVHL,ADFR
AWAR,ADFR
AWBR,ADFR
AWBR,ADFR
AWBR,ADFR
PVPR,ADFR
PVPR,ADFR
RIAR,ADFR
RIAR,ADFR
RIGR,ADFR
RIGR,ADFR
RIH,ADFR
RIR,ADFR
SMBDR,ADFR
SMBVR,ADFR
URXR,ADFR
ADLR,ADLL
AVDR,ADLL
OLQVL,ADLL
RMGL,ADLL
AIAL,ADLL
AIAL,ADLL
AIBL,ADLL
AIBL,ADLL
AIBR,ADLL
ALA,ADLL
ASER,ADLL
ASER,ADLL
ASHL,ADLL
AVAL,ADLL
AVAR,ADLL
AVBL,ADLL
AVBL,ADLL
AVDL,ADLL
AVDR,ADLL
AVHR,ADLL
AVJL,ADLL
AVJR,ADLL
AWBL,ADLL
CEPVL,ADLL
OLQVL,ADLL
RIPL,ADLL
SDQR,ADLL
ADLL,ADLR
AIAR,ADLR
AIAR,ADLR
AIAR,ADLR
AIBR,ADLR
ASER,ADLR
ASHR,ADLR
ASHR,ADLR
AVAR,ADLR
AVBL,ADLR
AVBR,ADLR
AVDL,ADLR
AVDL,ADLR
AVDR,ADLR
AVHR,ADLR
AVJR,ADLR
AVJR,ADLR
AWCR,ADLR
OLLR,ADLR
PVCL,ADLR
PVCL,ADLR
RICL,ADLR
RICR,ADLR
AFDR,AFDL
AIBL,AFDL
AINR,AFDL
AINR,AFDL
AINR,AFDL
AIYL,AFDL
ASER,AFDL
ASER,AFDL
AWAL,AFDL
AWAL,AFDL
AFDL,AFDR
AIBR,AFDR
AINL,AFDR
AINL,AFDR
AINR,AFDR
AIYR,AFDR
AIYR,AFDR
ASER,AFDR
ASER,AFDR
AWAR,AFDR
AWAR,AFDR
RIR,AFDR
ADAL,AIAL
ADLL,AIAL
ADLL,AIAL
AIAR,AIAL
ASIL,AIAL
AWAL,AIAL
AIBL,AIAL
AIBL,AIAL
